# "Time t (days)" "Activity y of ThX (relative units)" "y error" "Fit" 
1 117 6 114.183980285335
2 100 5 99.9904102895708
3 88 4 86.8576270848553
4 72 4 74.7856306711885
6 53 4 53.8239982170015
9 29.5 3 30.3374504685869
10 25.2 3 24.6301748012129
13 15.2 2 13.8730685453839
15 11.1 2 12.0055983300752
