r	numeric	exact
4.3804	0.054692	0.054842
4.4038	0.053709	0.053861
4.4272	0.05274	0.052895
4.4507	0.051785	0.051942
4.4742	0.050843	0.051004
4.4977	0.049916	0.050079
4.5213	0.049001	0.049167
4.545	0.0481	0.048269
4.5687	0.047211	0.047383
4.5925	0.046336	0.046511
4.6163	0.045472	0.045651
4.6403	0.044621	0.044803
4.6642	0.043782	0.043967
4.6883	0.042955	0.043143
4.7124	0.04214	0.042332
4.7366	0.041336	0.041531
4.7609	0.040544	0.040742
4.7853	0.039763	0.039965
4.8098	0.038993	0.039199
4.8343	0.038234	0.038443
4.859	0.037485	0.037699
4.8837	0.036748	0.036965
4.9085	0.03602	0.036242
4.9334	0.035303	0.035529
4.9585	0.034596	0.034826
4.9836	0.0339	0.034134
5.0089	0.033213	0.033452
5.0342	0.032536	0.032779
5.0597	0.031868	0.032116
5.0853	0.03121	0.031463
5.111	0.030562	0.03082
5.1368	0.029923	0.030186
5.1628	0.029293	0.029561
5.1888	0.028672	0.028946
5.215	0.02806	0.02834
5.2414	0.027457	0.027742
5.2679	0.026863	0.027154
5.2945	0.026278	0.026574
5.3212	0.0257	0.026003
5.3481	0.025132	0.025441
5.3752	0.024572	0.024887
5.4024	0.02402	0.024342
5.4298	0.023476	0.023805
5.4573	0.02294	0.023276
5.485	0.022412	0.022755
5.5128	0.021892	0.022243
5.5408	0.021379	0.021738
5.569	0.020875	0.021241
5.5974	0.020378	0.020752
5.6259	0.019888	0.020271
5.6547	0.019406	0.019798
5.6836	0.018931	0.019332
5.7127	0.018463	0.018873
5.742	0.018003	0.018422
5.7715	0.017549	0.017979
5.8012	0.017103	0.017542
5.8311	0.016663	0.017113
5.8613	0.01623	0.016691
5.8916	0.015804	0.016276
5.9222	0.015384	0.015868
5.953	0.014971	0.015467
5.984	0.014565	0.015072
6.0152	0.014164	0.014685
6.0467	0.01377	0.014304
6.0785	0.013382	0.01393
6.1105	0.013001	0.013562
6.1427	0.012625	0.013201
6.1752	0.012255	0.012846
6.208	0.011891	0.012498
6.2411	0.011533	0.012156
6.2744	0.01118	0.011821
6.308	0.010833	0.011491
6.3419	0.010492	0.011168
6.3761	0.010156	0.010851
6.4106	0.009825	0.010539
6.4454	0.0094993	0.010234
6.4805	0.0091788	0.0099348
6.5159	0.0088633	0.0096413
6.5517	0.0085527	0.0093537
6.5878	0.0082469	0.0090718
6.6242	0.0079458	0.0087956
6.661	0.0076493	0.008525
6.6982	0.0073573	0.00826
6.7357	0.0070697	0.0080005
6.7735	0.0067864	0.0077466
6.8118	0.0065073	0.007498
6.8504	0.0062321	0.0072549
6.8894	0.0059609	0.0070171
6.9288	0.0056936	0.0067846
6.9686	0.0054298	0.0065573
7.0088	0.0051697	0.0063353
7.0494	0.0049129	0.0061184
7.0904	0.0046594	0.0059066
7.1319	0.004409	0.0057
7.1737	0.0041616	0.0054983
7.216	0.0039171	0.0053017
7.2587	0.0036752	0.0051101
7.3019	0.0034358	0.0049234
7.3455	0.0031988	0.0047416
7.3894	0.002964	0.0045647
7.4339	0.0027312	0.0043927
7.4787	0.0025003	0.0042255
7.5239	0.002271	0.0040632
7.5695	0.0020433	0.0039056
7.6154	0.0018169	0.0037528
7.6617	0.0015917	0.0036048
7.7083	0.0013674	0.0034615
7.7553	0.001144	0.003323
7.8024	0.00092125	0.0031892
7.8498	0.00069899	0.0030601
7.8974	0.00047708	0.0029356
7.9451	0.00025536	0.0028158
7.9928	3.3686E-05	0.0027006
8	4.9662E-07	0.0026837
